date,close,pe
2006-02-27,3351.64,18.05
2006-03-30,3516.4,18.2
2006-04-27,3848.1,20.98
2006-05-30,4292.1,24.47
2006-06-29,4301.66,25.37
2006-07-30,3946.9,23.57
2006-08-30,4178.84,24.53
2006-09-28,4326.78,25.43
2006-10-30,4621.98,25.57
2006-11-29,5667.0,28.9
2006-12-28,6647.14,32.72
2007-01-30,7632.94,38.67
2007-02-27,8039.7,42.14
2007-03-29,8549.2,41.53
2007-04-29,10865.88,47.62
2007-05-30,12944.23,53.08
2007-06-28,12546.45,49.39
2007-07-30,15199.56,59.85
2007-08-30,17872.11,68.99
2007-09-27,18864.55,72.97
2007-10-30,19531.15,70.1
2007-11-29,15637.66,59.21
2007-12-27,17700.62,69.74
2008-01-30,15857.71,61.73
2008-02-28,15823.88,59.12
2008-03-30,13302.15,38.35
2008-04-29,13504.89,32.61
2008-05-29,12048.25,30.71
2008-06-29,9370.79,23.51
2008-07-30,9470.33,24.76
2008-08-28,8004.25,19.74
2008-09-25,7559.27,18.41
2008-10-30,5839.33,13.95
2008-11-27,6658.51,16.05
2008-12-30,6485.51,16.72
2009-01-22,7015.24,18.65
2009-02-26,7608.22,20.06
2009-03-30,8981.95,24.97
2009-04-29,9502.52,30.19
2009-05-26,10127.92,32.11
2009-06-29,11566.61,35.2
2009-07-30,13670.72,41.01
2009-08-30,10585.08,32.92
2009-09-29,11206.85,34.79
2009-10-29,12297.16,39.58
2009-11-29,13486.78,44.8
2009-12-30,13699.98,46.01
2010-01-28,12137.21,43.08
2010-02-25,12436.67,44.44
2010-03-30,12494.36,39.81
2010-04-29,11162.54,35.71
2010-05-30,10204.17,33.72
2010-06-29,9386.94,31.05
2010-07-29,10785.35,35.51
2010-08-30,11338.71,39.09
2010-09-29,11468.54,39.51
2010-10-28,13367.24,44.47
2010-11-29,12336.29,44.88
2010-12-30,12458.55,44.69
2011-01-30,11994.68,41.16
2011-02-27,12902.44,43.72
2011-03-30,12562.9,35.26
2011-04-28,12312.99,31.45
2011-05-30,11665.14,29.14
2011-06-29,12110.93,30.14
2011-07-28,11990.43,30.87
2011-08-30,11397.48,30.07
2011-09-29,10292.33,26.46
2011-10-30,10480.91,27.47
2011-11-29,9693.39,26.3
2011-12-29,8918.82,23.11
2012-01-30,9303.65,22.77
2012-02-28,10054.85,25.33
2012-03-29,9410.26,22.22
2012-04-26,10180.39,22.77
2012-05-30,10141.41,23.53
2012-06-28,9500.32,22.56
2012-07-30,9059.22,20.96
2012-08-30,8210.99,20.68
2012-09-27,8679.22,21.12
2012-10-30,8469.8,20.93
2012-11-29,7903.26,18.66
2012-12-30,9116.49,22.02
2013-01-30,9667.68,23.47
2013-02-27,9641.45,24.16
2013-03-28,8889.78,23.9
2013-04-25,8691.4,23.91
2013-05-30,9257.96,27.23
2013-06-27,7694.48,23.25
2013-07-30,7765.41,24.62
2013-08-29,8202.49,25.99
2013-09-29,8514.57,27.52
2013-10-30,8444.41,26.6
2013-11-28,8542.61,28.44
2013-12-30,8121.79,27.76
2014-01-29,7572.63,28.43
2014-02-27,7365.93,28.58
2014-03-30,7189.58,25.21
2014-04-29,7312.86,24.02
2014-05-29,7364.83,24.69
2014-06-29,7343.27,25.77
2014-07-30,7956.91,27.26
2014-08-28,7841.7,28.47
2014-09-29,8080.35,31.5
2014-10-30,8225.61,31.99
2014-11-27,9002.23,33.81
2014-12-30,11014.63,34.05
2015-01-29,11150.69,36.77
2015-02-26,11757.68,39.25
2015-03-30,13160.67,45.3
2015-04-29,14818.64,49.67
2015-05-28,16100.45,61.41
2015-06-29,14337.97,54.28
2015-07-30,12374.25,46.78
2015-08-30,10549.16,39.84
2015-09-29,9988.25,38.38
2015-10-29,11546.05,45.08
2015-11-29,12037.86,49.3
2015-12-30,12664.89,52.75
2016-01-28,9418.2,38.93
2016-02-28,9097.36,37.61
2016-03-30,10455.37,41.28
2016-04-28,10141.54,37.85
2016-05-30,10159.93,38.12
2016-06-29,10489.99,40.32
2016-07-28,10329.44,39.72
2016-08-30,10757.88,41.81
2016-09-29,10567.58,41.29
2016-10-30,10704.3,42.55
2016-11-29,11012.19,43.94
2016-12-29,10177.14,41.21
2017-01-25,10052.05,40.52
2017-02-27,10391.34,42.26
2017-03-30,10428.72,40.02
2017-04-27,10234.65,35.87
2017-05-30,9864.85,34.06
2017-06-29,10529.61,35.75
2017-07-30,10505.04,35.38
2017-08-30,10816.65,36.79
2017-09-28,11087.19,37.71
2017-10-30,11367.62,38.1
2017-11-29,10944.1,36.34
2017-12-28,11040.45,36.21
2018-01-30,11159.68,36.02
2018-02-27,10828.73,34.5
2018-03-29,10868.66,32.94
2018-04-26,10324.47,27.97
2018-05-30,10295.73,27.59
2018-06-28,9379.48,25.13
2018-07-30,9178.78,24.66
2018-08-30,8465.47,22.71
2018-09-27,8401.09,22.54
2018-10-30,7482.83,20.37
2018-11-29,7681.75,21.05
2018-12-27,7239.79,20.0
2019-01-30,7479.22,20.25
2019-02-27,9031.93,24.56
2019-03-28,9906.86,26.06
2019-04-29,9674.53,24.45
2019-05-30,8922.69,22.93
2019-06-27,9178.31,23.42
2019-07-30,9326.61,23.67
2019-08-30,9365.68,23.81
2019-09-30,9446.24,23.94
2019-10-31,9635.33,24.29
2019-11-29,9582.16,24.03
2019-12-31,10430.77,26.15
2020-01-23,10681.9,26.73
2020-02-28,10980.77,27.13
2020-03-31,9962.31,24.75
2020-04-30,10721.78,25.27
2020-05-29,10746.08,25.65
2020-06-30,11992.35,28.55
2020-07-31,13637.88,32.66
2020-08-31,13758.23,33.4
2020-09-30,12907.45,31.39
2020-10-30,13236.6,32.27
2020-11-30,13670.11,33.09
2020-12-31,14470.68,34.51
2021-01-29,14821.99,34.82
2021-02-26,14507.45,34.2
2021-03-31,13778.67,31.47
2021-04-23,14351.86,31.42
